Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,HR-EMP-00001,2/13/2020 19:06,,OUT,,,,
,,HR-EMP-00012,2/13/2020 19:07,,OUT,,,,
,,HR-EMP-00007,2/13/2020 19:07,,OUT,,,,
,,HR-EMP-00004,2/13/2020 19:28,,OUT,,,,
,,HR-EMP-00014,2/14/2020 10:11,,IN,,,,
,,HR-EMP-00007,2/14/2020 10:34,,IN,,,,
,,HR-EMP-00012,2/14/2020 10:48,,IN,,,,
,,HR-EMP-00009,2/14/2020 11:20,,IN,,,,
,,HR-EMP-00004,2/14/2020 11:30,,IN,,,,
,,HR-EMP-00001,2/14/2020 11:39,,IN,,,,
,,HR-EMP-00009,2/14/2020 18:35,,OUT,,,,
,,HR-EMP-00014,2/14/2020 18:51,,OUT,,,,
,,HR-EMP-00007,2/14/2020 19:04,,OUT,,,,
,,HR-EMP-00012,2/14/2020 19:14,,OUT,,,,
,,HR-EMP-00004,2/14/2020 19:22,,OUT,,,,
,,HR-EMP-00001,2/14/2020 19:42,,OUT,,,,
,,HR-EMP-00009,2/15/2020 10:04,,IN,,,,
,,HR-EMP-00004,2/15/2020 10:25,,IN,,,,
,,HR-EMP-00001,2/15/2020 10:40,,IN,,,,
,,HR-EMP-00012,2/15/2020 10:52,,IN,,,,
,,HR-EMP-00014,2/15/2020 11:08,,IN,,,,
,,HR-EMP-00007,2/15/2020 11:50,,IN,,,,
,,HR-EMP-00009,2/15/2020 19:01,,OUT,,,,
,,HR-EMP-00007,2/15/2020 19:04,,OUT,,,,
,,HR-EMP-00014,2/15/2020 19:18,,OUT,,,,
,,HR-EMP-00004,2/15/2020 19:18,,OUT,,,,
,,HR-EMP-00001,2/15/2020 19:18,,OUT,,,,
